player,club,nationality,wc_qualified,sub_position,league,club_goals_2526,club_assists_2526,club_apps_2526,competition_scope,intl_goals_sep24_may26,intl_assists_sep24_may26,intl_apps_sep24_may26,fitness_status,wc_squad_probability_pct,notes
Trent Alexander-Arnold,Real Madrid,England,YES,RB,La Liga,0,4,12,La Liga,0,1,4,Fit,82,Joined Real Madrid Jun 2025 for £10m; hybrid RB-midfielder role; 906 La Liga minutes in late integration; 34 total caps
Robin Le Normand,Atlético Madrid,Spain,YES,CB,La Liga,1,1,17,All competitions,1,0,10,Fit (returned from Nov 2025 knee injury Jan 2026),82,27 Spain caps; Euro 2024 winner; posterior capsule knee injury Nov 2025; back Jan 2026; 29 years old
Cristian Romero,Tottenham,Argentina,YES,CB,Premier League,4,1,32,All competitions,0,0,12,Injury concern - Grade 2 MCL tear Apr 12; on track for Jun 16 Argentina opener,82,Spurs captain 2025-26; 49 caps / 3 goals; 2022 WC winner; MCL recovery timeline fits WC; no surgery required
Denzel Dumfries,Inter Milan,Netherlands,YES,RWB,Serie A,3,1,21,All competitions,2,1,12,Fit,85,69+ caps / 11 goals; Netherlands' automatic RWB; key at Euro 2024 semi-final; 1.50 fouls/90; 0.97 key passes/90
Jurriën Timber,Arsenal,Netherlands,YES,RB,Premier League,3,5,37,All competitions,0,0,10,Injury concern - groin injury Mar 2026; slow recovery; minor doubt for WC,72,3G/5A from RB is elite attacking output; ACL recovery complete; groin is new concern; possible return late May
Amir Rrahmani,Napoli,Kosovo,NO,CB,Serie A,1,1,20,All competitions,3,0,10,Fit,0,COUNTRY NOT QUALIFIED – Kosovo lost WC playoff final 0-1 to Turkey Mar 31 2026; Rrahmani captain
Alessandro Bastoni,Inter Milan,Italy,NO,CB,Serie A,1,4,27,Serie A,0,0,8,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify (3rd consecutive miss); Bastoni arguably top-3 CB in world; 4 Serie A assists from CB
Alejandro Grimaldo,Bayer Leverkusen,Spain,YES,LB,Bundesliga,8,7,37,All competitions,0,1,8,Fit,72,8G/7A from LB (best attacking output of any fullback in this list); 4 UCL goals; but Cucurella is Spain's first choice after Euro 2024
Miloš Kerkez,Liverpool,Hungary,NO,LB,Premier League,2,1,23,Premier League,0,0,12,Fit,0,COUNTRY NOT QUALIFIED – Hungary lost last qualifier to Ireland 2-3 in injury time; Kerkez joined Liverpool for £40m Jun 2025
Ola Aina,Nottingham Forest,Nigeria,NO,RB,Premier League,0,0,26,All competitions,0,0,8,Fit,0,COUNTRY NOT QUALIFIED – Nigeria eliminated in CAF playoffs vs DR Congo on penalties; Aina said losing WC dream would be devastating
Maximilian Mittelstädt,VfB Stuttgart,Germany,YES,LB,Bundesliga,5,4,30,Bundesliga,0,1,12,Fit,82,Germany's established LB since debut vs France Mar 2024; 5G/4A from LB; 3 penalties scored; 255.4 km distance covered; FotMob avg 7.53
Edmond Tapsoba,Bayer Leverkusen,Burkina Faso,NO,CB,Bundesliga,4,2,27,All competitions,1,0,8,Fit,0,COUNTRY NOT QUALIFIED – Burkina Faso eliminated as worst group runner-up in CAF; Tapsoba extended Leverkusen contract 2026
Giovanni Di Lorenzo,Napoli,Italy,NO,RB,Serie A,1,1,23,Serie A,0,0,8,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify; Di Lorenzo is Napoli and Italy captain; 53 caps; 32 at WC time
Álvaro Carreras,Real Madrid,Spain,YES,LB,La Liga,2,2,35,All competitions,0,0,0,Fit,22,Full name: Álvaro Fernández Carreras; 22 years old; Spanish; FotMob avg 7.52 — highest of any Madrid fullback; no senior Spain caps yet; joined from Benfica Jul 2025
Daniel Svensson,Borussia Dortmund,Sweden,YES,LB,Bundesliga,2,2,31,Bundesliga,0,0,2,Fit,55,Full name: Daniel Jonathan Svensson; Swedish; LB/CB; 2,333 BL minutes; FotMob avg 7.01; only 2 senior Sweden caps (debuted Oct 2024); competing for Sweden squad spot
Strahinja Pavlović,AC Milan,Serbia,NO,CB,Serie A,4,1,26,Serie A,0,0,10,Fit,0,COUNTRY NOT QUALIFIED – Serbia finished 3rd in UEFA Group K; Pavlović 54 caps; 4 Serie A goals from CB outstanding for 24-year-old
Alessio Romagnoli,Lazio,Italy,NO,CB,Serie A,0,0,28,Serie A,0,0,8,Fit,0,COUNTRY NOT QUALIFIED – Italy did not qualify; Romagnoli 31 caps; 31 at WC time; likely his last WC opportunity
Jarell Quansah,Bayer Leverkusen,England,YES,CB,Bundesliga,3,0,26,Bundesliga,0,0,1,Fit,52,Joined from Liverpool for £30m; U21 Euros winner Jun 2025; scored on BL debut Aug 2025; only 1 senior England cap; FotMob avg reasonable
Éder Militão,Real Madrid,Brazil,YES,CB,La Liga,2,1,16,La Liga,0,0,0,RULED OUT - hamstring/biceps femoris surgery Dec 2025; 5-month recovery; out of WC,0,Brazil confirmed Militão out of 2026 WC; hamstring surgery Dec 2025; briefly returned then re-injured; forces Gabriel/Marquinhos to carry CB burden
Leny Yoro,Manchester United,France,YES,CB,Premier League,0,0,24,All competitions,0,0,0,Managed - minor late-season knock; being assessed,22,20 years old; France U21 captain; no senior France caps yet; UEL finalist; Deschamps has not called him up; France have Saliba/Upamecano ahead
Joe Rodon,Leeds United,Wales,NO,CB,Premier League,2,0,27,Premier League,2,0,12,Fit,0,COUNTRY NOT QUALIFIED – Wales lost playoff semi-final on penalties to Bosnia Mar 26 2026; Rodon 5.71 clearances/90 — among PL's best; 58 caps
